standard,unit,title,dimensions,tca,items,dok1,dok2,dok3,mc,sa,cr,er,dbq,tn_specific,ssp,c3,id_range,reporting_category,verbatim
GC.13,3,How a bill becomes a law,,,20,4,7,9,15,1,2,1,1,0,SSP.01/SSP.02/SSP.03/SSP.04/SSP.05,D2/D3/D4,GC.13-Q01–GC.13-Q20,RC-GOV3: The Legislative Branch,Describe the process of how a bill becomes a law.
GC.14,3,Tennessee’s congressional delegation,(T),,20,4,7,9,15,1,2,1,1,17,SSP.01/SSP.02/SSP.03/SSP.04/SSP.06,D2/D3/D4,GC.14-Q01–GC.14-Q20,RC-GOV3: The Legislative Branch,Identify the Tennessee representatives and senators to the U.S. Congress.
GC.15,3,Powers of Congress,(H),,20,4,7,9,15,1,2,0,2,0,SSP.01/SSP.02/SSP.03/SSP.04,D2/D3/D4,GC.15-Q01–GC.15-Q20,RC-GOV3: The Legislative Branch,"Describe the powers of U.S. Congress, including: appropriations; commerce; confirmations; declaration of war; implied powers; Necessary and proper clause."
GC.16,4,Article II & the executive,(H),,20,4,7,9,15,1,2,0,2,1,SSP.01/SSP.02/SSP.04/SSP.05,D2/D4,GC.16-Q01–GC.16-Q20,RC-GOV4: The Executive Branch,"Analyze Article II of the U.S. Constitution as it relates to the executive branch, including: appointments; Commander-in-chief of the military; eligibility for office; executive orders; length of term (22nd Amendment); oath of office; powers of the president; succession (25th Amendment); treaties."
GC.17,4,Departments of the executive branch,,,20,4,7,9,15,1,2,1,1,0,SSP.01/SSP.02/SSP.04,D2/D4,GC.17-Q01–GC.17-Q20,RC-GOV4: The Executive Branch,"Identify major departments of the executive branch, including: Defense; Education; Justice; State; Treasury."
GC.18,4,The Electoral College,"(G, H)",,20,4,7,9,15,1,2,0,2,1,SSP.01/SSP.02/SSP.04/SSP.06,D2/D4,GC.18-Q01–GC.18-Q20,RC-GOV4: The Executive Branch,Explain the Electoral College system and compare and contrast arguments for and against it.
GC.19,5,Article III & judicial power,,,20,4,7,9,15,1,2,1,1,0,SSP.01/SSP.02/SSP.04,D2/D3/D4,GC.19-Q01–GC.19-Q20,RC-GOV5: The Judicial Branch,"Analyze Article III of the U.S. Constitution as it relates to judicial power, including the length of terms and the jurisdiction of the U.S. Supreme Court."
GC.20,5,Selection & confirmation of justices,,,20,4,7,9,15,1,2,1,1,2,SSP.02/SSP.04/SSP.05,D2/D3/D4,GC.20-Q01–GC.20-Q20,RC-GOV5: The Judicial Branch,Explain the processes of selection and confirmation of Supreme Court justices.
GC.21,5,Judicial review & Marbury v. Madison,"(H, T)",,20,4,7,9,15,1,2,1,1,0,SSP.02/SSP.04/SSP.05,D2/D3/D4,GC.21-Q01–GC.21-Q20,RC-GOV5: The Judicial Branch,Explain the process of judicial review established by Marbury v. Madison.
GC.22,5,Constitutionality of laws and acts,(T),,20,4,7,9,15,1,2,0,2,2,SSP.02/SSP.04/SSP.05,D2/D3/D4,GC.22-Q01–GC.22-Q20,RC-GOV5: The Judicial Branch,Describe the Supreme Court’s role in determining the constitutionality of laws and acts of the legislative and executive branches.
GC.23,6,First Amendment interpretations,"(H, T)",,20,4,7,9,15,1,2,0,2,1,SSP.02/SSP.04,D2/D3/D4,GC.23-Q01–GC.23-Q20,RC-GOV6: Civil Liberties,"Evaluate the Supreme Court’s interpretations of the freedoms articulated in the 1st Amendment, including: Schenck v. United States; Engel v. Vitale; Tinker v. Des Moines; Lemon v. Kurtzman; New York Times v. United States; Miller v. California; Texas v. Johnson."
GC.24,6,Second Amendment interpretations,(T),,20,4,7,9,15,1,2,1,1,0,SSP.02/SSP.04/SSP.05,D2/D3/D4,GC.24-Q01–GC.24-Q20,RC-GOV6: Civil Liberties,Explain the 2nd Amendment and evaluate its various interpretations.
GC.25,6,Fourth–Eighth Amendment interpretations,"(H, T)",,20,4,7,9,15,1,2,1,1,0,SSP.02/SSP.03/SSP.04,D2/D3/D4,GC.25-Q01–GC.25-Q20,RC-GOV6: Civil Liberties,"Evaluate the Supreme Court’s interpretations of freedoms in the 4th through 8th Amendments, including: Mapp v. Ohio; Gideon v. Wainwright; Miranda v. Arizona."
GC.26,6,14th Amendment: equal protection & due process,,,20,4,7,9,15,1,2,1,1,0,SSP.02/SSP.04/SSP.05,D2/D3/D4,GC.26-Q01–GC.26-Q20,RC-GOV6: Civil Liberties,"Evaluate the Supreme Court’s interpretations of the freedoms in the 14th Amendment, equal protection, and due process clauses, including: Plessy v. Ferguson; Gitlow v. New York; Brown v. Board of Education; Obergefell v. Hodges."
GC.27,6,Rights for the underserved: Title IX & ADA,"(H, T)",,20,4,7,9,15,1,2,1,1,0,SSP.02/SSP.03/SSP.04,D2/D3/D4,GC.27-Q01–GC.27-Q20,RC-GOV6: Civil Liberties,"Identify and explain legislation and legal precedents that established rights for the underserved, including Title IX and the Americans with Disabilities Act."
GC.28,7,Tennessee branches: departments & agencies,(T),,20,4,7,9,15,1,2,0,2,20,SSP.01/SSP.02/SSP.04/SSP.06,D2/D3/D4,GC.28-Q01–GC.28-Q20,RC-GOV7: Tennessee State and Local Government,"Identify the functions of departments and agencies of the executive, legislative, and judicial branches in the state of Tennessee."
GC.29,7,Types of local government in Tennessee,(T),,20,4,7,9,15,1,2,0,2,20,SSP.02/SSP.04,D2/D3/D4,GC.29-Q01–GC.29-Q20,RC-GOV7: Tennessee State and Local Government,"Explain the differences among the types of local governments in Tennessee, including county, city, and metro governments, as well as the legal, fiscal, and operational relationships between them and the state government."
GC.30,7,Current TN governor & General Assembly,(T),,20,4,7,9,15,1,2,0,2,20,SSP.02/SSP.04/SSP.05/SSP.06,D2/D3/D4,GC.30-Q01–GC.30-Q20,RC-GOV7: Tennessee State and Local Government,Identify the current governor of Tennessee and the representatives in the General Assembly.
GC.31,2,Responsibilities of citizens,"(C, T)",,20,4,7,9,15,1,2,0,2,0,SSP.01/SSP.02/SSP.04/SSP.05,D2/D3/D4,GC.31-Q01–GC.31-Q20,RC-GOV2: Citizen Participation,"Describe what should be reasonably expected from any citizen or resident of the U.S., and explain why it is important for the well-being of the nation, including: being informed on civic issues; obeying the law; paying taxes; respecting the rights of others; serving as a juror; serving in the military or alternative service; volunteering and performing public service; voting."
GC.32,2,Political parties & the nomination process,(T),,20,4,7,9,15,1,2,0,2,0,SSP.01/SSP.02/SSP.03/SSP.04,D2/D3/D4,GC.32-Q01–GC.32-Q20,RC-GOV2: Citizen Participation,"Explain the role of political parties in the nomination process for presidential candidates and the importance of and difference between primaries, caucuses, and general elections."
GC.33,2,Role of the media & public opinion,(T),,20,4,7,9,15,1,2,0,2,0,SSP.01/SSP.02/SSP.04,D2/D3/D4,GC.33-Q01–GC.33-Q20,RC-GOV2: Citizen Participation,Describe the role of the media as a means of communicating information and how it influences the importance of issues and public opinion.
GC.34,2,Means of political participation,(T),,20,4,7,9,15,1,2,0,2,0,SSP.01/SSP.02/SSP.03/SSP.04,D2/D3/D4,GC.34-Q01–GC.34-Q20,RC-GOV2: Citizen Participation,"Describe the means that citizens use to participate in the political process, including: campaigning; demonstrating; lobbying; petitioning; running for office; voting."
GC.35,3,Citizenship & naturalization,(T),,20,4,7,9,15,1,2,0,2,0,SSP.01/SSP.02/SSP.03/SSP.04,D2/D3/D4,GC.35-Q01–GC.35-Q20,RC-GOV3: The Legislative Branch,"Explain the requirements to be considered a natural-born U.S. citizen, and describe the process of naturalization, including the knowledge required by the Naturalization Test."
